,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Shot Creating Action,SCA_p90,Shots Shots Liveball Pass,Shots from Deadball Pass,Shots from Take-Ons,Shots from Shots,Shots from Fouls,Shots from Defense,Goal Creating Action,GCA_p90,Goals from Liveball Pass,Goals from Deadball Pass,Goals from Take-Ons,Goals from Shots,Goals from Fouls,Goals from Defense,Pass Completed,Pass Attempted,Pass Comp%,Total Pass Dist,Prog Pass Dist,Short Comp,Short Attempt,Short Comp%,Med Comp,Med Attempt,Med Comp%,Long Comp,Long Attempt,Long Comp%,Expected Assisted Goal xAG,Expected xA,A-xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
1258,1259,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26-296,1997,6,5,495,5.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,13,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,6,1.09,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,223,273,81.7,4263,1257,84,93,90.3,117,135,86.7,20,37,54.1,0.0,0.3,0.0,0,14,1,1,13
1259,1260,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19-167,2005,1,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,63,69,91.3,1015,422,29,31,93.5,30,31,96.8,4,7,57.1,0.0,0.0,0.0,0,1,0,0,3
1260,1261,Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,de Bundesliga,20-191,2004,5,1,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,4,3,12,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58,3,2.35,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,19,33,57.6,233,46,13,18,72.2,5,10,50.0,0,0,,0.7,0.2,-0.7,4,2,2,0,3
1261,1262,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27-180,1997,4,0,85,0.9,1,0,1,0,1,1,0,0,1.2,0.4,0.3,0.8,0,0,6,1.06,0.00,1.06,0.00,0.00,1.27,0.37,1.64,0.43,0.80,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,13,24,54.2,155,31,7,8,87.5,2,6,33.3,1,1,100.0,0.3,0.0,-0.3,1,0,0,0,0
1262,1263,Senny Mayulu,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,18-138,2006,4,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,2,5,0.00,0.00,0.00,0.00,0.00,0.23,0.26,0.49,0.23,0.49,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,20,26,76.9,281,41,7,11,63.6,9,10,90.0,0,0,,0.1,0.1,-0.1,1,1,1,0,2
1263,1264,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,26-323,1997,6,6,513,5.7,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.4,6,31,7,0.00,0.18,0.18,0.00,0.18,0.04,0.03,0.06,0.04,0.06,8,1.40,8,0,0,0,0,0,1,0.18,1,0,0,0,0,0,280,335,83.6,4269,1660,158,181,87.3,110,124,88.7,8,17,47.1,0.1,0.5,+0.9,3,28,2,0,31
1264,1265,Luca Mazzitelli,it ITA,MF,Como,it Serie A,28-322,1995,5,2,168,1.9,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,0,13,4,0.00,0.54,0.54,0.00,0.54,0.04,0.27,0.31,0.04,0.31,8,4.29,6,0,1,0,0,1,1,0.54,1,0,0,0,0,0,85,107,79.4,1459,578,44,48,91.7,27,35,77.1,10,14,71.4,0.5,0.6,+0.5,4,10,4,0,13
1265,1266,Pasquale Mazzocchi,it ITA,DF,Napoli,it Serie A,29-067,1995,5,4,349,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,12,17,24,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,12,3.09,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,110,140,78.6,1574,603,68,75,90.7,37,48,77.1,3,8,37.5,0.3,0.3,-0.3,4,3,6,1,17
1266,1267,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20-260,2004,4,3,228,2.5,1,2,3,1,0,0,0,0,0.1,0.1,0.3,0.4,9,4,15,0.39,0.79,1.18,0.39,1.18,0.05,0.11,0.16,0.05,0.16,6,2.38,5,0,0,0,1,0,3,1.19,2,0,0,0,1,0,64,76,84.2,793,128,45,52,86.5,15,20,75.0,1,1,100.0,0.3,0.2,+1.7,5,3,1,0,4
1267,1268,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17-278,2006,3,1,77,0.9,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,1,4,9,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,3,3.55,2,0,0,1,0,0,1,1.18,0,0,0,1,0,0,35,42,83.3,532,132,18,22,81.8,15,16,93.8,1,1,100.0,0.0,0.1,0.0,0,3,2,0,4
1268,1269,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25-287,1998,7,7,606,6.7,5,1,6,2,3,3,1,0,6.9,4.6,0.4,5.0,31,31,92,0.74,0.15,0.89,0.30,0.45,1.03,0.06,1.09,0.68,0.74,22,3.27,12,0,6,4,0,0,3,0.45,2,0,1,0,0,0,170,209,81.3,2622,473,90,106,84.9,57,59,96.6,12,14,85.7,0.4,0.6,+0.6,9,20,8,0,31
1269,1270,Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16-252,2008,4,1,78,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,2,12,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,26,29,89.7,439,48,10,12,83.3,13,13,100.0,2,2,100.0,0.0,0.0,0.0,0,1,0,0,2
1270,1271,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,25-056,1999,6,6,539,6.0,5,0,5,5,0,0,2,0,2.0,2.0,1.3,3.3,24,16,44,0.83,0.00,0.83,0.83,0.83,0.33,0.21,0.55,0.33,0.55,24,4.01,17,5,1,1,0,0,1,0.17,1,0,0,0,0,0,141,199,70.9,2112,613,79,93,84.9,49,60,81.7,9,29,31.0,1.3,1.7,-1.3,11,5,9,2,16
1271,1272,James Mcatee,eng ENG,FW,Manchester City,eng Premier League,21-350,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,100.0,45,18,3,3,100.0,1,1,100.0,0,0,,0.0,0.0,0.0,0,0,0,0,0
1272,1273,Kasey McAteer,ie IRL,"DF,FW",Leicester City,eng Premier League,22-315,2001,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7,13,53.8,97,14,5,8,62.5,2,3,66.7,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0
1273,1274,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28-120,1996,8,6,572,6.4,0,2,2,0,0,0,0,0,0.9,0.9,1.1,2.0,1,11,28,0.00,0.31,0.31,0.00,0.31,0.15,0.17,0.31,0.15,0.31,16,2.52,12,0,1,2,1,0,2,0.31,2,0,0,0,0,0,106,145,73.1,1250,265,80,101,79.2,17,26,65.4,3,4,75.0,1.1,0.4,+0.9,9,7,4,1,11
1274,1275,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34-304,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,46,53,86.8,923,609,18,20,90.0,19,20,95.0,8,12,66.7,0.0,0.0,0.0,0,1,0,0,0
1275,1276,John McGinn,sct SCO,"FW,MF",Aston Villa,eng Premier League,29-350,1994,5,5,349,3.9,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,10,13,20,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.15,0.13,0.15,8,2.06,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0,94,120,78.3,1647,380,39,43,90.7,46,52,88.5,8,16,50.0,0.1,0.5,-0.1,1,6,3,0,13
1276,1277,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,27-325,1996,5,4,368,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,236,266,88.7,3984,1387,98,104,94.2,124,139,89.2,10,18,55.6,0.0,0.0,0.0,0,6,0,0,8
1277,1278,Weston McKennie,us USA,MF,Juventus,it Serie A,26-035,1998,3,2,164,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,3,1.65,2,0,0,0,1,0,1,0.55,1,0,0,0,0,0,65,76,85.5,878,140,41,43,95.3,20,25,80.0,1,3,33.3,0.0,0.1,0.0,0,3,1,0,5
1278,1279,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,25-220,1999,4,4,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,127,152,83.6,2205,853,58,64,90.6,58,69,84.1,10,15,66.7,0.0,0.0,0.0,0,6,0,0,7
1279,1280,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24-315,1999,6,6,532,5.9,3,2,5,3,0,0,0,0,0.5,0.5,2.4,2.9,10,28,30,0.51,0.34,0.85,0.51,0.85,0.09,0.40,0.49,0.09,0.49,28,4.74,13,12,1,1,0,1,3,0.51,1,1,0,0,0,1,166,233,71.2,3349,1264,67,80,83.8,64,79,81.0,31,54,57.4,2.4,3.0,-0.4,20,13,13,3,28
1280,1281,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27-299,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,1,4.74,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,10,10,100.0,186,99,5,5,100.0,3,3,100.0,2,2,100.0,0.0,0.0,0.0,0,2,0,0,1
1281,1282,Scott McTominay,sct SCO,MF,Napoli,it Serie A,27-299,1996,3,2,197,2.2,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,7,4,12,0.00,0.46,0.46,0.00,0.46,0.15,0.16,0.31,0.15,0.31,2,0.91,1,0,0,1,0,0,1,0.46,0,0,0,1,0,0,43,51,84.3,679,209,23,27,85.2,15,18,83.3,4,4,100.0,0.3,0.0,+0.7,1,6,0,0,4
1282,1283,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,26-025,1998,5,5,435,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,3,0.62,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,163,184,88.6,3134,854,52,57,91.2,100,106,94.3,11,18,61.1,0.0,0.3,0.0,0,4,1,0,6
1283,1284,Facundo Medina,ar ARG,"DF,MF",Lens,fr Ligue 1,25-127,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,12,36,3,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,9,1.50,8,0,0,1,0,0,2,0.33,2,0,0,0,0,0,286,333,85.9,4885,1896,131,139,94.2,127,137,92.7,23,43,53.5,0.2,0.5,-0.2,2,29,7,1,36
1284,1285,Ben Mee,eng ENG,DF,Brentford,eng Premier League,35-011,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,50.0,33,0,0,0,,0,0,,1,2,50.0,0.0,0.0,0.0,0,0,0,0,0
1285,1286,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,20-320,2003,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,3,4.29,3,0,0,0,0,0,1,1.43,1,0,0,0,0,0,11,14,78.6,94,32,9,9,100.0,0,1,0.0,0,0,,0.3,0.0,-0.3,2,1,0,0,1
1286,1287,Bamo Meïté,ci CIV,"DF,MF",Marseille,fr Ligue 1,22-304,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,26,28,92.9,333,121,18,19,94.7,7,7,100.0,0,0,,0.0,0.0,0.0,0,2,0,0,0
1287,1288,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21-185,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0.0,0.0,0.0,0,0,0,0,0
1288,1289,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27-150,1997,5,3,304,3.4,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.8,7,6,18,0.00,0.30,0.30,0.00,0.30,0.14,0.09,0.24,0.14,0.24,8,2.37,6,1,0,0,1,0,3,0.89,2,0,0,0,1,0,62,84,73.8,957,250,37,39,94.9,18,26,69.2,6,13,46.2,0.3,0.6,+0.7,2,3,1,0,6
1289,1290,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22-105,2002,3,2,160,1.8,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,9,15,10,0.00,0.56,0.56,0.00,0.56,0.06,0.40,0.46,0.06,0.46,11,6.19,9,1,0,1,0,0,1,0.56,1,0,0,0,0,0,141,156,90.4,2336,627,63,67,94.0,66,71,93.0,10,12,83.3,0.7,0.3,+0.3,5,8,4,1,15
1290,1291,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27-269,1997,5,4,278,3.1,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,5,11,12,0.32,0.32,0.65,0.32,0.65,0.29,0.22,0.52,0.29,0.52,4,1.30,4,0,0,0,0,0,1,0.32,1,0,0,0,0,0,106,138,76.8,1496,423,63,72,87.5,34,46,73.9,5,9,55.6,0.7,0.7,+0.3,3,11,2,1,11
1291,1292,Antoine Mendy,fr FRA,"DF,MF",Nice,fr Ligue 1,20-128,2004,4,3,251,2.8,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,6,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,2,0.72,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,113,144,78.5,1981,583,50,54,92.6,52,63,82.5,11,25,44.0,0.0,0.0,0.0,0,7,0,0,6
1292,1293,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,29-116,1995,6,6,468,5.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,5,23,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.38,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,309,328,94.2,4733,1296,180,187,96.3,108,113,95.6,18,21,85.7,0.0,0.1,0.0,1,19,1,0,23
1293,1294,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32-101,1992,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,42,46,91.3,649,171,22,23,95.7,16,16,100.0,2,4,50.0,0.0,0.0,0.0,0,9,0,0,4
1294,1295,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,26-076,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9,10,90.0,172,66,3,3,100.0,6,6,100.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0
1295,1296,Alex Meret,it ITA,GK,Napoli,it Serie A,27-194,1997,5,5,395,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,93,128,72.7,2275,1395,20,20,100.0,52,54,96.3,21,54,38.9,0.0,0.0,0.0,0,1,0,0,0
1296,1297,Quentin Merlin,fr FRA,"DF,MF",Marseille,fr Ligue 1,22-139,2002,3,3,270,3.0,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,14,25,0.00,0.33,0.33,0.00,0.33,0.03,0.11,0.14,0.03,0.14,9,3.00,8,0,0,1,0,0,3,1.00,2,0,0,1,0,0,189,223,84.8,3096,647,97,104,93.3,81,94,86.2,9,18,50.0,0.3,0.3,+0.7,2,18,6,3,14
1297,1298,Víctor Meseguer,es ESP,MF,Valladolid,es La Liga,25-115,1999,7,2,265,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,6,10,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,2,0.68,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,77,100,77.0,1156,349,42,50,84.0,27,35,77.1,3,5,60.0,0.0,0.1,0.0,0,4,0,0,6
1298,1299,Junior Messias,br BRA,"MF,FW",Genoa,it Serie A,33-142,1991,3,3,265,2.9,1,0,1,1,0,1,0,0,1.8,0.9,0.2,1.1,8,6,16,0.34,0.00,0.34,0.34,0.34,0.63,0.07,0.69,0.31,0.37,11,3.74,5,0,2,2,2,0,1,0.34,0,0,0,1,0,0,40,55,72.7,690,182,16,17,94.1,21,31,67.7,3,6,50.0,0.2,0.0,-0.2,4,3,0,0,6
1299,1300,Connor Metcalfe,au AUS,MF,St. Pauli,de Bundesliga,24-332,1999,4,2,227,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,6,8,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19,5,1.98,1,2,0,0,2,0,0,0.00,0,0,0,0,0,0,54,88,61.4,879,352,29,38,76.3,20,24,83.3,5,18,27.8,0.1,0.1,-0.1,2,5,0,0,6
1300,1301,Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,31-139,1993,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,26,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,274,332,82.5,5416,2056,82,94,87.2,160,174,92.0,30,56,53.6,0.0,0.1,0.0,0,22,1,0,26
1301,1302,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,33-020,1991,6,3,286,3.2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,10,24,20,0.31,0.00,0.31,0.31,0.31,0.17,0.00,0.17,0.17,0.17,6,1.89,4,0,1,1,0,0,4,1.26,2,0,1,1,0,0,192,237,81.0,3322,949,95,104,91.3,78,97,80.4,17,27,63.0,0.0,0.2,0.0,0,19,2,0,24
1302,1303,Florian Micheler,at AUT,MF,Hoffenheim,de Bundesliga,19-138,2005,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,11,12,91.7,158,45,6,6,100.0,5,5,100.0,0,0,,0.0,0.0,0.0,0,1,0,0,1
1303,1304,Miguel,es ESP,FW,Leganés,es La Liga,25-029,1999,7,5,462,5.1,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,6,2,24,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,7,1.36,1,0,0,1,5,0,0,0.00,0,0,0,0,0,0,34,62,54.8,532,78,18,28,64.3,9,14,64.3,3,6,50.0,0.0,0.1,0.0,0,2,2,1,2
1304,1305,Valentin Mihaila,ro ROU,"FW,MF",Parma,it Serie A,24-243,2000,6,6,401,4.5,0,1,1,0,0,0,1,0,1.6,1.6,0.4,2.0,11,12,24,0.00,0.22,0.22,0.00,0.22,0.36,0.09,0.45,0.36,0.45,17,3.82,12,1,1,1,2,0,2,0.45,2,0,0,0,0,0,100,126,79.4,1480,421,53,66,80.3,31,37,83.8,7,11,63.6,0.4,0.3,+0.6,6,9,4,1,12
1305,1306,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,23-337,2000,6,3,339,3.8,0,0,0,0,0,1,0,0,2.5,1.6,0.1,1.7,8,18,37,0.00,0.00,0.00,0.00,0.00,0.66,0.02,0.67,0.42,0.44,8,2.13,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,91,114,79.8,1265,246,50,59,84.7,30,39,76.9,4,4,100.0,0.1,0.8,-0.1,2,6,3,0,18
1306,1307,Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,26-356,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,1.1,1.1,0.0,1.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.22,0.01,0.23,0.22,0.23,3,0.60,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,144,157,91.7,2793,1022,52,53,98.1,73,80,91.3,18,21,85.7,0.0,0.0,0.0,2,9,0,0,7
1307,1308,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27-225,1997,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.40,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,157,219,71.7,4587,3206,32,32,100.0,76,76,100.0,49,109,45.0,0.0,0.1,0.0,0,10,1,0,0
1308,1309,Éder Militão,br BRA,DF,Real Madrid,es La Liga,26-258,1998,8,8,709,7.9,1,1,2,1,0,0,1,0,0.6,0.6,0.5,1.1,7,43,1,0.13,0.13,0.25,0.13,0.25,0.07,0.06,0.14,0.07,0.14,11,1.40,9,0,0,2,0,0,1,0.13,1,0,0,0,0,0,515,572,90.0,10598,3815,152,162,93.8,302,321,94.1,58,83,69.9,0.5,0.1,+0.5,6,50,2,0,43
1309,1310,Luis Milla,es ESP,MF,Getafe,es La Liga,29-361,1994,8,8,704,7.8,1,1,2,0,1,1,0,0,1.0,0.2,1.0,1.2,10,36,7,0.13,0.13,0.26,0.00,0.13,0.13,0.12,0.25,0.03,0.15,36,4.60,19,13,2,1,1,0,1,0.13,0,1,0,0,0,0,229,333,68.8,4154,1415,105,121,86.8,81,109,74.3,36,81,44.4,1.0,0.8,0.0,21,23,2,0,36
1310,1311,Pere Milla,es ESP,MF,Espanyol,es La Liga,32-009,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,2,1.70,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,24,37,64.9,437,89,12,16,75.0,8,12,66.7,4,6,66.7,0.0,0.1,0.0,1,0,0,0,1
1311,1312,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,22-077,2002,5,4,355,3.9,3,2,5,3,0,1,1,0,4.2,3.3,1.4,4.7,5,24,18,0.76,0.51,1.27,0.76,1.27,1.06,0.36,1.42,0.84,1.20,21,5.32,14,0,2,4,1,0,4,1.01,2,0,1,1,0,0,197,226,87.2,3000,885,124,136,91.2,64,72,88.9,9,15,60.0,1.4,1.3,+0.6,8,19,3,1,24
1312,1313,James Milner,eng ENG,MF,Brighton,eng Premier League,38-272,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,8,4.26,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0.2,0.2,-0.2,4,3,1,1,10
1313,1314,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,27-322,1996,5,5,440,4.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,32,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,5,1.02,4,0,0,0,1,0,1,0.20,1,0,0,0,0,0,470,518,90.7,7602,3151,227,239,95.0,226,244,92.6,14,26,53.8,0.0,0.1,0.0,0,36,0,0,32
1314,1315,Yerry Mina,co COL,DF,Cagliari,it Serie A,30-009,1994,5,5,408,4.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,1,15,4,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,6,1.32,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,242,293,82.6,4891,1677,72,85,84.7,140,161,87.0,29,44,65.9,0.0,0.3,0.0,1,9,2,0,15
1315,1316,Takumi Minamino,jp JPN,MF,Monaco,fr Ligue 1,29-260,1995,5,4,352,3.9,1,1,2,1,0,0,0,0,1.1,1.1,2.2,3.3,5,14,21,0.26,0.26,0.51,0.26,0.51,0.28,0.55,0.83,0.28,0.83,17,4.35,16,0,1,0,0,0,1,0.26,1,0,0,0,0,0,86,122,70.5,1208,466,50,66,75.8,32,42,76.2,1,5,20.0,2.2,1.6,-1.2,12,15,6,0,14
1316,1317,Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,20-271,2004,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,59,79,74.7,1009,478,31,37,83.8,19,22,86.4,6,15,40.0,0.0,0.0,0.0,0,5,1,1,9
